['2.56', '87.70935', '-71.34983', '211.9191', '-0.5801468', '39.66933', '-5.460146', '2.719', '10020', '20']
['2.576', '87.70042', '-69.99554', '212.5525', '-0.6066856', '37.68242', '-5.434581', '2.719', '10020', '20']
['2.592', '87.69218', '-68.91108', '212.9756', '-0.6285553', '36.15717', '-5.412431', '2.719', '10020', '20']
['2.608', '87.68772', '-68.1299', '213.2479', '-0.6458931', '35.10733', '-5.396407', '2.719', '10020', '20']
['2.624', '87.68484', '-67.68792', '213.3801', '-0.6547165', '34.50902', '-5.386166', '2.719', '10020', '20']
['2.64', '87.68353', '-67.54515', '213.4184', '-0.659111', '34.30275', '-5.38277', '2.719', '10020', '20']
['2.656', '87.68367', '-67.53279', '213.4174', '-0.6601067', '34.26155', '-5.382269', '2.719', '10020', '20']
['2.672', '87.68333', '-67.53576', '213.4151', '-0.6604156', '34.25297', '-5.382441', '2.719', '10020', '20']
['2.688', '87.68346', '-67.53361', '213.4174', '-0.66045', '34.25221', '-5.382633', '2.719', '10020', '20']
['2.704', '87.68346', '-67.53515', '213.4164', '-0.6605873', '34.25276', '-5.382763', '2.719', '10020', '20']
['2.72', '87.68326', '-67.53389', '213.4181', '-0.660553', '34.25379', '-5.382802', '3.419', '10020', '30']
['2.736', '87.68367', '-67.53246', '213.4192', '-0.6604843', '34.25503', '-5.382958', '3.419', '10020', '30']
['2.752', '87.68339', '-67.53318', '213.419', '-0.6604156', '34.25685', '-5.383026', '3.419', '10020', '30']
['2.768', '87.68339', '-67.53147', '213.4208', '-0.6603126', '34.25839', '-5.383139', '3.419', '10020', '30']
['2.784', '87.68367', '-67.53153', '213.4208', '-0.660141', '34.25994', '-5.383307', '3.419', '10020', '30']
['2.8', '87.68339', '-67.53164', '213.4212', '-0.6600723', '34.26172', '-5.383374', '3.419', '10020', '30']
['2.816', '87.68367', '-67.53059', '213.4222', '-0.6599693', '34.2631', '-5.38348', '3.419', '10020', '30']
['2.832', '87.68353', '-67.5312', '213.4219', '-0.6599007', '34.26419', '-5.383686', '3.419', '10020', '30']
['2.848', '87.68353', '-67.53081', '213.4227', '-0.6597633', '34.2655', '-5.38379', '3.419', '10020', '30']
['2.864', '87.68367', '-67.53059', '213.4229', '-0.6595917', '34.26622', '-5.383762', '3.419', '10020', '30']
['2.88', '87.68353', '-67.53109', '213.4225', '-0.6595573', '34.2668', '-5.384059', '3.419', '10020', '30']
['2.896', '87.68367', '-67.53054', '213.4232', '-0.6595573', '34.26735', '-5.384079', '3.419', '10020', '30']
['2.912', '87.68367', '-67.53076', '213.423', '-0.6595573', '34.26756', '-5.384032', '3.419', '10020', '30']
['2.928', '87.68367', '-67.53092', '213.4229', '-0.6595917', '34.26773', '-5.384203', '3.419', '10020', '30']
['2.944', '87.68367', '-67.53059', '213.4232', '-0.6594543', '34.26783', '-5.384152', '3.419', '10020', '30']
['2.96', '87.68367', '-67.53092', '213.4229', '-0.6593513', '34.2678', '-5.384206', '3.419', '10020', '30']
['2.976', '87.68374', '-67.53076', '213.423', '-0.659214', '34.26787', '-5.384319', '3.419', '10020', '30']
['2.992', '87.68381', '-67.5307', '213.4231', '-0.6592827', '34.26794', '-5.384211', '3.419', '10020', '30']
['3.008', '87.68367', '-67.53098', '213.4229', '-0.6591797', '34.26787', '-5.384264', '3.419', '10020', '30']
['3.024', '87.68381', '-67.5307', '213.4231', '-0.6591797', '34.26773', '-5.384258', '3.419', '10020', '30']
['3.04', '87.68381', '-67.53087', '213.4229', '-0.659111', '34.26783', '-5.384317', '3.419', '10020', '30']
['3.056', '87.68367', '-67.53087', '213.4229', '-0.6590767', '34.26776', '-5.384315', '3.419', '10020', '30']
['3.072', '87.68381', '-67.53076', '213.4229', '-0.6590767', '34.26773', '-5.384368', '3.419', '10020', '30']
['3.088', '87.68374', '-67.53092', '213.4229', '-0.6590424', '34.26776', '-5.38437', '3.419', '10020', '30']
['3.104', '87.68381', '-67.53076', '213.4229', '-0.659008', '34.26766', '-5.384421', '3.419', '10020', '30']
['3.12', '87.68381', '-67.53081', '213.4229', '-0.6590424', '34.26766', '-5.384366', '3.419', '10020', '30']
['3.136', '87.68374', '-67.53087', '213.4227', '-0.6590767', '34.26766', '-5.384476', '3.419', '10020', '30']
['3.152', '87.68381', '-67.53076', '213.4229', '-0.659008', '34.26766', '-5.384311', '3.419', '10020', '30']
['3.168', '87.68381', '-67.53087', '213.4228', '-0.659008', '34.26766', '-5.384201', '3.419', '10020', '30']
['3.184', '87.68381', '-67.53087', '213.4228', '-0.659008', '34.26756', '-5.384252', '3.419', '10020', '30']
['3.2', '87.68381', '-67.53076', '213.4229', '-0.659008', '34.26756', '-5.384307', '3.419', '10020', '30']
['3.216', '87.68381', '-67.53087', '213.4227', '-0.6590424', '34.26749', '-5.384249', '3.419', '10020', '30']
['3.232', '87.68381', '-67.53081', '213.4227', '-0.6590767', '34.26742', '-5.384192', '3.419', '10020', '30']
